,original_habitat,transition_habitat,functional_habitat,functional_habAge,year
1,deforested,albizia_current,deforested,0,0
2,deforested,albizia_current,albizia_current,1,1
3,deforested,albizia_current,albizia_current,2,2
4,deforested,albizia_current,albizia_current,3,3
5,deforested,albizia_current,albizia_current,4,4
6,deforested,albizia_current,albizia_current,5,5
7,deforested,albizia_current,albizia_current,6,6
8,deforested,albizia_current,albizia_current,7,7
9,deforested,albizia_current,albizia_current,8,8
10,deforested,albizia_current,albizia_current,9,9
11,deforested,albizia_current,albizia_current,10,10
12,deforested,albizia_current,albizia_current,11,11
13,deforested,albizia_current,albizia_current,12,12
14,deforested,albizia_current,albizia_current,1,13
15,deforested,albizia_current,albizia_current,2,14
16,deforested,albizia_current,albizia_current,3,15
17,deforested,albizia_current,albizia_current,4,16
18,deforested,albizia_current,albizia_current,5,17
19,deforested,albizia_current,albizia_current,6,18
20,deforested,albizia_current,albizia_current,7,19
21,deforested,albizia_current,albizia_current,8,20
22,deforested,albizia_current,albizia_current,9,21
23,deforested,albizia_current,albizia_current,10,22
24,deforested,albizia_current,albizia_current,11,23
25,deforested,albizia_current,albizia_current,12,24
26,deforested,albizia_current,albizia_current,1,25
27,deforested,albizia_current,albizia_current,2,26
28,deforested,albizia_current,albizia_current,3,27
29,deforested,albizia_current,albizia_current,4,28
30,deforested,albizia_current,albizia_current,5,29
31,deforested,albizia_current,albizia_current,6,30
32,deforested,albizia_current,albizia_current,7,31
33,deforested,albizia_current,albizia_current,8,32
34,deforested,albizia_current,albizia_current,9,33
35,deforested,albizia_current,albizia_current,10,34
36,deforested,albizia_current,albizia_current,11,35
37,deforested,albizia_current,albizia_current,12,36
38,deforested,albizia_current,albizia_current,1,37
39,deforested,albizia_current,albizia_current,2,38
40,deforested,albizia_current,albizia_current,3,39
41,deforested,albizia_current,albizia_current,4,40
42,deforested,albizia_current,albizia_current,5,41
43,deforested,albizia_current,albizia_current,6,42
44,deforested,albizia_current,albizia_current,7,43
45,deforested,albizia_current,albizia_current,8,44
46,deforested,albizia_current,albizia_current,9,45
47,deforested,albizia_current,albizia_current,10,46
48,deforested,albizia_current,albizia_current,11,47
